"id";"cve_ent";"nom_ent";"nom_abr";"id_pais"
1;"01";"Aguascalientes";"Ags.";"MX"
2;"02";"Baja California";"BC";"MX"
3;"03";"Baja California Sur";"BCS";"MX"
4;"04";"Campeche";"Camp.";"MX"
5;"05";"Coahuila de Zaragoza";"Coah.";"MX"
6;"06";"Colima";"Col.";"MX"
7;"07";"Chiapas";"Chis.";"MX"
8;"08";"Chihuahua";"Chih.";"MX"
9;"09";"Distrito Federal";"DF";"MX"
10;"10";"Durango";"Dgo.";"MX"
11;"11";"Guanajuato";"Gto.";"MX"
12;"12";"Guerrero";"Gro.";"MX"
13;"13";"Hidalgo";"Hgo.";"MX"
14;"14";"Jalisco";"Jal.";"MX"
15;"15";"México";"Mex.";"MX"
16;"16";"Michoacán de Ocampo";"Mich.";"MX"
17;"17";"Morelos";"Mor.";"MX"
18;"18";"Nayarit";"Nay.";"MX"
19;"19";"Nuevo León";"NL";"MX"
20;"20";"Oaxaca";"Oax.";"MX"
21;"21";"Puebla";"Pue.";"MX"
22;"22";"Querétaro";"Qro.";"MX"
23;"23";"Quintana Roo";"Q. Roo";"MX"
24;"24";"San Luis Potosí";"SLP";"MX"
25;"25";"Sinaloa";"Sin.";"MX"
26;"26";"Sonora";"Son.";"MX"
27;"27";"Tabasco";"Tab.";"MX"
28;"28";"Tamaulipas";"Tamps.";"MX"
29;"29";"Tlaxcala";"Tlax.";"MX"
30;"30";"Veracruz de Ignacio de la Llave";"Ver.";"MX"
31;"31";"Yucatán";"Yuc.";"MX"
32;"32";"Zacatecas";"Zac.";"MX"
